location,areaName,communityName,roomType,houseTotalMoney,houseType,houseFloor,houseBuildingArea,houseStructure,houseAgeLimit,houseBuildingStructure,houseBuildingType,houseDecoration,houseInnerArea,houseElevator,houseElevatorRatio,houseLastTrade,houseOrientation,houseListDate,housePledge,housePrivilege,houseUsage,housePrivilegeProperty,houseTradeProperty,houseTitle,houseUrl,CrawlTime
东葛路,青秀区,浩洋邨,,224.2万,3室2厅1厨2卫,中楼层 (共9层),118㎡,平层,暂无数据,未知结构,暂无数据,精装,暂无数据,暂无数据,一梯两户,暂无数据,南 北,2019-11-20,,70年,暂无数据,暂无数据,商品房,浩洋邨 3室2厅 224.2万,https://nn.lianjia.com/ershoufang/105103401819.html,2020-01-14 23:18:34
东盟商务区,青秀区,倚林佳园,,338.6万,4室2厅1厨2卫,低楼层 (共11层),169.3㎡,平层,暂无数据,未知结构,暂无数据,精装,暂无数据,有,一梯三户,暂无数据,南,2019-11-21,,70年,暂无数据,暂无数据,商品房,东盟商务区、万象城商圈，恬淡舒适的四房。,https://nn.lianjia.com/ershoufang/105103408543.html,2020-01-14 23:18:35
星湖,青秀区,盛天国际,,158.8万,2室2厅1厨1卫,中楼层 (共35层),67㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,暂无数据,一梯八户,暂无数据,南 北,2019-11-30,,70年,暂无数据,暂无数据,商品房,盛天国际两房业主因去外地发展有心出售,https://nn.lianjia.com/ershoufang/105103459727.html,2020-01-14 23:18:35
经开区,江南区,龙光普罗旺斯香槟,,86万,2室2厅1厨1卫,中楼层 (共18层),83.33㎡,平层,暂无数据,框架结构,塔楼,其他,暂无数据,有,两梯四户,暂无数据,南 北,2019-12-28,,70年,暂无数据,暂无数据,商品房,龙光普罗旺斯香槟 2房2厅  南,https://nn.lianjia.com/ershoufang/105103618925.html,2020-01-14 23:18:36
东盟商务区,青秀区,利海·亚洲国际,,108万,1室1厅1厨1卫,低楼层 (共30层),59.84㎡,平层,暂无数据,钢混结构,塔楼,其他,暂无数据,有,五梯二十八户,暂无数据,南,2020-01-03,,70年,暂无数据,暂无数据,商品房,利海·亚洲国际 1室1厅 108万,https://nn.lianjia.com/ershoufang/105103650852.html,2020-01-14 23:18:37
琅东,青秀区,中房翡翠园一期,,180万,4室2厅1厨2卫,中楼层 (共11层),138㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,一梯三户,暂无数据,东南,2019-11-17,,70年,暂无数据,暂无数据,商品房,业主急售 标准四房  配套齐全,https://nn.lianjia.com/ershoufang/105103382475.html,2020-01-14 23:18:38
琅东,青秀区,汇东郦城,,183万,3室2厅1厨2卫,低楼层 (共17层),131㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南,2018-11-01,,70年,暂无数据,暂无数据,商品房,户型方正 入户大 装修好 证满五,https://nn.lianjia.com/ershoufang/105101703694.html,2020-01-14 23:18:39
五一路,江南区,融晟公園大地B区,,123万,4室2厅1厨2卫,低楼层 (共18层),141㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,两梯三户,暂无数据,南,2019-12-20,,70年,暂无数据,暂无数据,商品房,融晟公園大地B区 4室2厅 123万,https://nn.lianjia.com/ershoufang/105103576762.html,2020-01-14 23:18:43
柳沙,青秀区,竹溪新兴苑,,125万,3室2厅1厨2卫,高楼层 (共6层),128㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,暂无数据,一梯两户,暂无数据,南 北,2019-09-07,,70年,暂无数据,暂无数据,商品房,竹溪新兴苑 3室2厅 125万,https://nn.lianjia.com/ershoufang/105102986785.html,2020-01-14 23:18:45
凤岭北,青秀区,万科城,,150万,3室2厅1厨2卫,低楼层 (共41层),97㎡,平层,暂无数据,框架结构,板塔结合,其他,暂无数据,有,两梯七户,暂无数据,东南,2020-01-07,,70年,暂无数据,暂无数据,商品房,万科城 3室2厅 150万,https://nn.lianjia.com/ershoufang/105103668973.html,2020-01-14 23:18:50
琅东,青秀区,中房翡翠园一期,,200万,4室2厅1厨2卫,中楼层 (共7层),149㎡,平层,暂无数据,框架结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南 北,2019-09-06,,70年,暂无数据,暂无数据,商品房,琅东站，三中对 面，149平精装自住四房带车位，公摊小,https://nn.lianjia.com/ershoufang/105102983842.html,2020-01-14 23:18:51
东盟商务区,青秀区,大自然花園,,230万,3室2厅1厨2卫,高楼层 (共6层),133.26㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,无,一梯两户,暂无数据,南 北,2019-09-21,,70年,暂无数据,暂无数据,商品房,花园式小区，青秀区旁，满5年，近地铁口,https://nn.lianjia.com/ershoufang/105103061829.html,2020-01-14 23:18:54
