communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
桃源二村,浦东,2室1厅1厨1卫,低楼层 (共6层),78㎡,板楼,南,精装,一梯两户,2019-11-29,2017-01-03,满两年,195万元,惠南
经典茂名公寓,静安,2室2厅1厨2卫,高楼层 (共28层),127.71㎡,板楼,南 北,精装,两梯两户,2019-11-17,2009-09-14,满五年,1620万元,南京西路
高行家园,浦东,2室2厅1厨1卫,高楼层 (共6层),78.66㎡,板楼,南 北,精装,一梯两户,2019-11-14,2014-09-01,满五年,384万元,高行
滨江小区,徐汇,2室1厅1厨1卫,低楼层 (共6层),68.65㎡,板楼,南 北,简装,一梯两户,2019-12-25,2002-06-01,满五年,400万元,徐汇滨江
东泉小区,徐汇,2室1厅1厨1卫,中楼层 (共6层),58.88㎡,板楼,南,简装,一梯两户,2020-01-04,暂无数据,暂无数据,360万元,植物园
绿地海怡公寓,长宁,1室1厅1厨1卫,高楼层 (共30层),59.3㎡,塔楼,东南,精装,三梯七户,2019-12-04,暂无数据,暂无数据,413万元,中山公园
西凌新邨,黄浦,1室1厅1厨1卫,低楼层 (共6层),37.11㎡,板楼,南,毛坯,一梯五户,2019-12-04,暂无数据,暂无数据,289万元,蓬莱公园
又一村(长宁),长宁,2室1厅1厨1卫,中楼层 (共7层),54.58㎡,板楼,南,精装,一梯四户,2019-11-30,暂无数据,暂无数据,398万元,新华路
新梅花苑,闵行,2室1厅0厨1卫,中楼层 (共6层),58.87㎡,板楼,南,简装,一梯四户,2019-12-09,暂无数据,暂无数据,285万元,古美
长顺坊,徐汇,2室1厅1厨1卫,高楼层 (共6层),48.83㎡,板楼,南,精装,一梯三户,2019-03-22,2012-04-07,满五年,335万元,康健
上南三村,浦东,2室0厅1厨1卫,中楼层 (共6层),50.84㎡,板楼,南,简装,一梯四户,2019-10-26,2003-04-22,满五年,268万元,世博
松江颐景园(公寓),松江,3室2厅1厨2卫,中楼层 (共13层),117.1㎡,板楼,南,毛坯,一梯两户,2019-12-16,2016-12-25,满两年,398万元,松江老城
